,KIC
535,2284810
536,2284829
537,2284882
538,2284936
539,2284964
540,2285208
541,2285481
542,2285621
543,2285671
544,2285672
545,2285805
546,2285835
547,2285922
548,2297236
549,2297468
550,2297573
551,2297896
552,2298305
553,2298664
554,2299540
555,2299738
556,2299920
557,2300077
558,2300096
559,2300253
560,2300298
561,2300433
562,2300440
563,2300604
564,2300683
565,2300835
566,2300877
567,2300960
568,2301143
569,2301169
570,2301378
571,2301409
572,2301490
573,2301590
574,2302022
575,2302108
576,2302135
577,2302189
578,2302281
579,2302548
580,2302665
581,2302741
582,2302787
583,2302794
584,2302892
585,2302978
586,2303011
587,2303102
588,2303245
589,2303279
590,2303311
591,2303352
592,2303459
593,2303896
594,2303903
595,2303988
596,2304140
597,2304199
598,2304357
599,2304422
600,2304465
601,2304798
602,2304873
603,2304939
604,2305013
605,2305061
606,2305167
607,2305195
608,2305281
609,2305305
610,2305416
611,2305506
612,2305669
613,2305760
614,2305819
615,2305871
616,2306094
617,2306205
618,2306249
619,2306360
620,2306569
621,2306953
622,2306975
623,2307131
624,2307327
625,2307364
626,2307470
627,2307473
628,2307643
629,2307689
630,2307838
631,2307900
632,2307951
633,2308002
634,2308049
635,2308071
636,2308103
637,2308241
638,2308375
639,2308573
640,2308603
641,2308858
642,2308887
643,2308930
644,2309036
645,2309070
646,2309161
647,2309197
648,2309404
649,2309478
650,2309598
651,2310098
652,2310187
653,2310199
654,2310259
655,2310456
656,2310467
657,2310497
658,2310632
659,2310639
660,2310716
661,2310822
662,2310874
663,2311117
664,2311123
665,2311350
666,2311399
667,2311497
668,2311499
669,2311508
670,2311578
671,2421890
672,2421893
673,2421934
674,2422011
675,2422056
676,2422065
677,2422201
678,2422251
679,2422709
680,2422714
681,2422798
682,2422825
683,2422861
684,2422906
685,2422920
686,2423052
687,2423328
688,2423357
689,2423454
690,2423466
691,2423793
692,2423794
693,2423809
694,2423813
695,2423836
696,2423839
697,2423938
698,2423939
699,2423958
700,2423982
701,2424302
702,2424309
703,2424682
704,2424793
705,2425006
706,2425042
707,2425104
708,2425133
709,2425173
710,2425184
711,2425185
712,2425386
713,2425734
714,2425774
715,2436331
716,2436525
717,2436849
718,2437044
719,2437234
720,2437329
721,2437359
722,2437684
723,2438264
724,2438513
725,2438588
726,2438851
727,2438863
728,2439048
729,2439080
730,2439094
731,2439144
732,2439243
733,2439354
734,2439376
735,2439496
736,2439570
737,2439876
738,2441023
739,2441123
740,2441151
741,2441337
742,2441387
743,2441409
744,2441437
745,2441495
746,2441736
747,2441830
748,2441862
749,2441876
750,2441989
751,2442008
752,2442165
753,2442205
754,2442210
755,2442297
756,2442331
757,2442523
758,2442551
759,2442569
760,2442654
761,2442704
762,2442726
763,2442893
764,2443037
765,2443154
766,2443309
767,2443523
768,2443654
769,2443815
770,2443892
